packet_no,timestamp,caplen,origlen,src_mac,dst_mac,ethertype,src_ip,dst_ip,protocol,src_port,dst_port
1,2023-09-10T19:42:13.728330+00:00,60,60,20:c0:47:c2:69:24,01:00:5e:00:00:01,0x800,192.168.1.1,224.0.0.1,1,,
2,2023-09-10T19:42:13.772023+00:00,694,694,36:5f:ef:98:ba:a2,01:00:5e:00:00:fb,0x800,192.168.1.239,224.0.0.251,17,5353,5353
3,2023-09-10T19:42:13.772027+00:00,714,714,36:5f:ef:98:ba:a2,33:33:00:00:00:fb,0x86dd,,,,,
4,2023-09-10T19:42:13.972856+00:00,60,60,3c:6a:9d:19:f3:22,01:00:5e:00:00:fb,0x800,192.168.1.219,224.0.0.251,2,,
5,2023-09-10T19:42:14.175754+00:00,60,60,a0:85:fc:de:ab:f5,01:00:5e:00:00:16,0x800,192.168.1.217,224.0.0.22,2,,
6,2023-09-10T19:42:14.436474+00:00,700,700,42:e4:13:59:68:9a,01:00:5e:00:00:fb,0x800,192.168.1.216,224.0.0.251,17,5353,5353
7,2023-09-10T19:42:14.437470+00:00,720,720,42:e4:13:59:68:9a,33:33:00:00:00:fb,0x86dd,,,,,
8,2023-09-10T19:42:15.543490+00:00,62,62,d8:3a:dd:0f:54:1c,01:00:5e:00:00:16,0x800,192.168.1.8,224.0.0.22,2,,
9,2023-09-10T19:42:15.600527+00:00,105,105,20:c0:47:c2:69:24,a0:ce:c8:70:18:ea,0x800,17.248.202.64,192.168.1.244,6,443,55213
10,2023-09-10T19:42:15.600531+00:00,92,92,20:c0:47:c2:69:24,a0:ce:c8:70:18:ea,0x800,17.248.202.64,192.168.1.244,6,443,55213
11,2023-09-10T19:42:15.600534+00:00,66,66,20:c0:47:c2:69:24,a0:ce:c8:70:18:ea,0x800,17.248.202.64,192.168.1.244,6,443,55213
12,2023-09-10T19:42:15.601227+00:00,66,66,a0:ce:c8:70:18:ea,20:c0:47:c2:69:24,0x800,192.168.1.244,17.248.202.64,6,55213,443
13,2023-09-10T19:42:15.601607+00:00,105,105,a0:ce:c8:70:18:ea,20:c0:47:c2:69:24,0x800,192.168.1.244,17.248.202.64,6,55213,443
14,2023-09-10T19:42:15.602325+00:00,90,90,a0:ce:c8:70:18:ea,20:c0:47:c2:69:24,0x800,192.168.1.244,17.248.202.64,6,55213,443
15,2023-09-10T19:42:15.602872+00:00,66,66,a0:ce:c8:70:18:ea,20:c0:47:c2:69:24,0x800,192.168.1.244,17.248.202.64,6,55213,443
16,2023-09-10T19:42:15.613423+00:00,66,66,20:c0:47:c2:69:24,a0:ce:c8:70:18:ea,0x800,17.248.202.64,192.168.1.244,6,443,55213
17,2023-09-10T19:42:15.675710+00:00,60,60,a0:85:fc:de:ab:f5,01:00:5e:00:00:16,0x800,192.168.1.217,224.0.0.22,2,,
18,2023-09-10T19:42:15.994977+00:00,54,54,a0:ce:c8:70:18:ea,20:c0:47:c2:69:24,0x800,192.168.1.244,142.251.41.3,6,49484,443
